attendance,marks,study_hours,distance_from_home,annual_income,previous_marks,backlogs,assignments_completed,participation,dropout
81,47,1,11,967414,33,4,57,2,1
44,93,6,15,908344,62,3,91,3,1
90,64,5,2,854927,71,0,79,2,0
50,91,3,13,744927,61,4,82,6,1
53,30,2,16,266587,80,4,42,3,1
32,54,3,7,508632,33,2,64,1,1
51,74,2,8,566032,49,0,46,4,1
82,78,7,6,831870,96,4,86,5,0
31,45,4,7,477925,97,3,49,4,1
59,48,1,18,536962,91,0,83,6,1
67,52,1,7,274847,87,2,83,3,0
31,54,4,3,464211,76,1,90,6,0
93,45,5,5,615255,88,4,58,1,1
89,83,4,1,623966,35,1,54,6,0
50,30,7,15,374371,69,4,60,8,1
62,71,6,3,506247,52,2,60,8,0
87,48,4,8,339891,81,2,97,1,1
51,63,2,9,919432,33,2,76,7,1
78,84,6,15,937685,66,2,67,4,0
88,47,4,10,735136,71,0,84,6,0
71,63,1,2,429708,73,0,71,6,0
89,74,3,5,745209,71,4,96,5,0
44,35,2,19,982401,58,0,80,9,1
91,50,7,13,484758,48,4,93,8,0
91,99,2,11,249385,61,0,66,6,0
76,77,5,1,345398,73,0,98,4,0
91,68,3,15,437330,84,0,62,4,0
80,60,2,18,322832,34,3,49,9,0
84,39,4,16,550967,75,2,79,4,0
93,59,2,9,414636,74,3,80,7,0
32,47,2,1,392508,50,0,45,6,1
80,89,2,11,511577,51,0,63,2,0
36,44,5,9,692237,59,3,57,5,1
50,33,2,11,206330,52,4,49,3,1
68,92,2,13,524286,34,2,95,9,0
47,69,5,2,203722,92,4,54,1,1
33,38,6,14,777769,88,2,84,4,1
89,38,3,6,129854,81,1,82,4,0
43,55,7,8,196742,94,2,73,9,0
38,33,6,18,743913,68,4,47,1,1
82,45,1,16,653943,32,2,89,2,1
31,44,5,12,529581,71,1,74,1,1
89,81,5,11,576514,56,1,94,1,0
73,98,2,6,952588,57,0,66,1,1
37,34,2,3,330305,83,1,64,3,1
76,49,7,14,221232,44,3,42,4,1
64,47,1,2,812084,82,4,60,2,1
65,31,2,11,377599,99,3,96,1,1
79,42,4,3,843106,33,3,78,5,1
33,33,2,18,756334,46,4,71,6,1
31,71,2,1,899111,63,3,89,2,1
35,90,4,1,292863,35,3,92,3,1
83,37,1,12,127429,65,3,60,3,1
33,96,4,15,380217,68,1,48,2,1
83,92,5,5,694495,95,4,89,4,0
92,38,4,6,130365,37,4,40,5,1
47,40,3,16,614824,44,4,43,8,1
73,71,5,12,867263,92,3,43,6,0
63,42,2,12,604330,94,1,88,9,0
91,65,7,3,960885,88,4,65,3,0
43,42,5,2,206657,39,2,94,9,1
77,41,1,7,107784,36,4,73,4,1
44,66,1,2,474673,41,0,66,8,1
91,81,4,7,230229,75,2,54,7,0
69,31,5,11,332273,61,4,84,7,1
